Time (s),Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Expected BSFC (g/kW.hr),Actual BSFC (g/kW.hr),Actual BSFC /  Expected BSFC,Expected Max Power (W),Bus Voltage (V),GCU Current (A),Battery Current (A),Power Generated (W),GCU Phase Current (A),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM), Fans On (qty), PWM Uptime (s)
2.54,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.94,-0.1,-0.24,-5,0.0,21,3.1,3.5,1963,569,0,3
2.79,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,0.0,-0.3,-2,0.0,21,3.1,2.8,0,904,0,3
3.04,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.32,-2,0.0,21,3.1,2.8,0,1088,0,3
3.29,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,0.0,-0.26,-2,0.0,21,3.1,2.8,0,1525,0,4
3.54,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,0.0,-0.31,-2,0.0,21,3.1,2.7,0,1603,0,4
3.79,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,0.0,-0.32,-2,0.0,21,3.1,2.7,0,2038,0,4
4.04,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,-0.1,-0.04,-3,0.0,21,3.1,2.7,0,2147,0,4
4.29,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.32,-3,0.0,21,3.1,2.7,0,2520,0,5
4.54,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.3,-3,0.0,21,3.1,2.7,0,2544,0,5
4.79,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.19,-3,0.0,21,3.1,2.7,0,2920,0,5
5.04,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.27,-3,0.0,21,3.1,2.7,0,3011,0,5
5.29,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.24,-3,0.0,21,3.1,2.7,0,3367,0,6
5.54,0.0,0,5,20,21,21,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,-0.1,-0.27,-4,0.0,21,3.1,2.7,0,3453,0,6
5.79,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.97,-0.1,-0.31,-4,0.0,21,3.1,2.7,0,3743,0,6
6.04,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.22,-4,0.0,21,3.1,2.7,0,3864,0,6
6.29,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.24,-4,0.0,21,3.1,2.7,0,3958,0,7
6.54,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.23,-4,0.0,21,3.1,2.7,0,3963,0,7
6.79,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.19,-5,0.0,21,3.1,2.7,0,3947,0,7
7.04,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.23,-4,0.0,21,3.1,2.7,0,3951,0,7
7.29,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.12,-5,0.0,21,3.1,2.7,0,3942,0,8
7.54,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.22,-5,0.0,21,3.1,2.7,0,3935,0,8
7.79,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.25,-5,0.0,21,3.1,2.7,0,3950,0,8
8.04,0.0,0,5,20,21,20,98,0.0,0.0,0,0,0,#DIV/0!,0,45.96,-0.1,-0.24,-5,0.0,21,3.1,2.7,0,3897,0,8
