Time (s),Motor Speed (RPM),Engine Speed (RPM),Throttle (%),Intake Temperature (C),Engine Coolant Temperature 1 (C),Engine Coolant Temperature 2 (C),Barometric Pressure (kpa),Fuel Trim,Fuel Consumption (g/min),Fuel Consumed (g),Expected BSFC (g/kW.hr),Actual BSFC (g/kW.hr),Expected Max Power (W),Bus Voltage (V),GCU Current (A),Battery Current (A),Power Generated (W),GCU Phase Current (A),Inverter Temperature (C),Target Fuel Pressure (bar),Fuel Pressure (bar),Fuel Pump Speed (RPM),Cooling Pump Speed (RPM), Fans On (qty), PWM Uptime (s)
2.8,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.6,-16,0,25,3.1,2.5,17,1126,0,3
3.05,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.4,0.7,-21,0,25,3.1,2.1,1834,1298,0,3
3.3,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.5,0.79,-24,0,25,3.1,2.8,4373,1669,0,4
3.55,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.63,-16,0,25,3.1,2.8,14,1885,0,4
3.8,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.4,0.73,-20,0,25,3.1,2.2,1293,2185,0,4
4.05,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.5,0.81,-24,0,25,3.1,2.6,4284,2363,0,4
4.3,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.3,0.68,-16,0,25,3.1,2.8,6,2642,0,5
4.55,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.3,0.92,-17,0,25,3.1,2.3,0,2873,0,5
4.8,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.71,-17,0,25,3.1,1.9,6,3035,0,5
5.05,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.71,-17,0,25,3.1,1.6,16,3261,0,5
5.3,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.7,-18,0,25,3.1,1.3,7,3549,0,6
5.55,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.92,-18,0,25,3.1,1.2,16,3722,0,6
5.8,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.3,0.73,-17,0,25,3.1,1,4,3893,0,6
6.05,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.4,0.74,-18,0,25,3.1,0.9,11,4133,0,6
6.3,0,0,5,26,25,26,101,0,0,0,0,0,0,50.54,-0.4,0.97,-18,0,25,3.1,0.7,5,4319,0,7
6.55,0,0,5,26,25,26,101,0,0,0,0,0,0,50.53,-0.4,0.76,-19,0,25,3.1,0.7,8,4214,0,7
6.8,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,0.76,-18,0,25,3.1,0.6,4,4219,0,7
7.05,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,0.75,-19,0,25,3.1,0.5,10,4304,0,7
7.3,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,0.76,-19,0,25,3.1,0.4,3,4317,0,8
7.55,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,0.74,-19,0,25,3.1,0.4,7,4209,0,8
7.8,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,0.75,-19,0,25,3.1,0.3,5,4276,0,8
8.05,0,0,5,26,25,26,100,0,0,0,0,0,0,50.54,-0.4,1.02,-19,0,25,3.1,0.3,6,4245,0,8
8.3,0,0,5,26,25,26,100,0,0,0,0,0,0,50.53,-0.4,0.87,-19,0,25,3.1,0.3,1,4194,0,9
8.55,0,0,5,26,25,26,100,0,0,0,0,0,0,50.53,-0.4,0.87,-19,0,25,3.1,0.2,4,4316,0,9
8.8,0,0,5,26,25,26,101,0,0,0,0,0,0,50.53,-0.4,1.1,-19,0,25,3.1,0.2,1,4329,0,9
9.05,0,0,5,26,25,26,101,0,0,0,0,0,0,50.53,-0.4,0.9,-19,0,25,3.1,0.2,8,4225,0,9
9.3,0,0,5,26,25,26,101,0,0,0,0,0,0,50.53,-0.4,0.83,-18,0,25,3.1,0.1,0,4239,0,10
9.55,0,0,5,26,25,26,101,0,0,0,0,0,0,50.53,-0.4,0.84,-18,0,25,3.1,0.1,3,4251,0,10
9.8,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.91,-19,0,25,3.1,0.1,2,4222,0,10
10.05,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-18,0,25,3.1,0.1,4,4166,0,10
10.3,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.86,-19,0,25,3.1,0.1,2,4298,0,11
10.55,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,1.06,-19,0,25,3.1,0.1,3,4220,0,11
10.8,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.89,-18,0,25,3.1,0.1,5,4257,0,11
11.05,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-18,0,25,3.1,0,6,4194,0,11
11.3,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,1.03,-18,0,25,3.1,0,4,4272,0,12
11.55,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.97,-18,0,25,3.1,0,3,4221,0,12
11.8,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-18,0,25,3.1,0,5,4219,0,12
12.05,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.88,-18,0,25,3.1,0,5,4293,0,12
12.3,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.9,-18,0,25,3.1,0,6,4293,0,13
12.55,-0.2,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.84,-19,0,25,3.1,0,2,4257,0,13
12.8,0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-19,0,25,3.1,0,4,4215,0,13
13.05,0.2,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,1.03,-18,0,25,3.1,0,2,4266,0,13
13.3,-0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.85,-18,0,25,3.1,0,6,4148,0,14
13.55,-0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.85,-18,0,25,3.1,0,0,4260,0,14
13.8,-0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.82,-19,0,25,3.1,0,3,4208,0,14
14.05,-0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.89,-19,0,25,3.1,0,1,4248,0,14
14.3,0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.85,-19,0,25,3.1,0,3,4198,0,15
14.55,-0.4,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.88,-19,0,25,3.1,0,0,4309,0,15
14.8,-0.3,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,1.11,-19,0,25,3.1,0,5,4165,0,15
15.05,-0.2,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-19,0,26,3.1,0,4,4266,0,15
15.3,-0.1,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-19,0,25,3.1,0,5,4204,0,16
15.55,0,0,5,26,25,25,101,0,0,0,0,0,0,50.53,-0.4,0.87,-18,0,25,3.1,0,2,4208,0,16
15.8,0,0,5,26,25,25,101,0,0,0,0,0,0,50.52,-0.4,0.82,-18,0,25,3.1,0,4,4243,0,16
16.05,0,0,5,26,25,25,101,0,0,0,0,0,0,50.52,-0.4,0.82,-18,0,25,3.1,0,2,4287,0,16
